Samp,Signal,I,Q,R,Phi,,,,
323,-716,-54.53,-7.92,55.1,-3,,,,
324,-557,-54.16,-7.8,54.72,-3,,,,
325,-614,-53.76,-7.92,54.34,-3,,,,
326,-879,-53.4,-8.36,54.05,-2.99,,,,
327,-1253,-53.37,-9.14,54.14,-2.97,,,,
328,-1572,-53.91,-9.94,54.82,-2.96,,,,
329,-1740,-54.92,-10.27,55.87,-2.96,,,,
330,-1680,-55.89,-9.93,56.76,-2.97,,,,
331,-1420,-56.38,-9.21,57.12,-2.98,,,,
332,-1057,-56.34,-8.54,56.98,-2.99,,,,
333,-717,-56.04,-8.17,56.63,-3,,,,
334,-555,-55.68,-8.05,56.25,-3,,,,
335,-616,-55.27,-8.17,55.87,-2.99,,,,
336,-880,-54.91,-8.61,55.58,-2.99,,,,
337,-1253,-54.88,-9.39,55.68,-2.97,,,,
338,-1571,-55.42,-10.18,56.35,-2.96,,,,
339,-1739,-56.43,-10.52,57.4,-2.96,,,,
340,-1682,-57.4,-10.18,58.29,-2.97,,,,
341,-1419,-57.88,-9.46,58.65,-2.98,,,,
342,-1055,-57.85,-8.79,58.51,-2.99,,,,
343,-714,-57.55,-8.42,58.16,-3,,,,
344,-555,-57.18,-8.31,57.78,-3,,,,
345,-615,-56.78,-8.42,57.4,-2.99,,,,
346,-878,-56.42,-8.86,57.11,-2.99,,,,
347,-1252,-56.38,-9.64,57.2,-2.97,,,,
348,-1572,-56.93,-10.43,57.88,-2.96,,,,
349,-1740,-57.93,-10.76,58.92,-2.96,,,,
350,-1679,-58.9,-10.43,59.81,-2.97,,,,
351,-1421,-59.39,-9.7,60.17,-2.98,,,,
352,-1056,-59.35,-9.03,60.03,-2.99,,,,
353,-716,-59.05,-8.66,59.68,-3,,,,
354,-554,-58.68,-8.55,59.3,-3,,,,
355,-614,-58.27,-8.67,58.92,-2.99,,,,
356,-881,-57.91,-9.11,58.62,-2.99,,,,
357,-1254,-57.88,-9.89,58.72,-2.97,,,,
358,-1571,-58.42,-10.68,59.39,-2.96,,,,
359,-1740,-59.42,-11.01,60.43,-2.96,,,,
360,-1680,-60.39,-10.68,61.33,-2.97,,,,
361,-1421,-60.88,-9.95,61.68,-2.98,,,,
362,-1057,-60.84,-9.28,61.54,-2.99,,,,
363,-715,-60.54,-8.91,61.19,-3,,,,
364,-555,-60.17,-8.8,60.81,-3,,,,
365,-616,-59.76,-8.91,60.42,-2.99,,,,
366,-879,-59.4,-9.35,60.13,-2.99,,,,
367,-1253,-59.36,-10.13,60.22,-2.97,,,,
368,-1571,-59.9,-10.93,60.89,-2.96,,,,
369,-1741,-60.91,-11.26,61.94,-2.96,,,,
370,-1680,-61.87,-10.92,62.83,-2.97,,,,
371,-1420,-62.36,-10.2,63.18,-2.98,,,,
372,-1055,-62.32,-9.53,63.04,-2.99,,,,
373,-715,-62.01,-9.16,62.69,-2.99,,,,
374,-554,-61.64,-9.04,62.3,-3,,,,
375,-614,-61.24,-9.16,61.92,-2.99,,,,
376,-879,-60.88,-9.6,61.63,-2.99,,,,
377,-1253,-60.84,-10.38,61.72,-2.97,,,,
378,-1571,-61.38,-11.17,62.39,-2.96,,,,
379,-1740,-62.38,-11.5,63.43,-2.96,,,,
380,-1681,-63.35,-11.17,64.32,-2.97,,,,
381,-1421,-63.83,-10.44,64.68,-2.98,,,,
382,-1055,-63.79,-9.77,64.53,-2.99,,,,
383,-715,-63.49,-9.4,64.18,-2.99,,,,
384,-555,-63.11,-9.29,63.79,-3,,,,
385,-616,-62.71,-9.4,63.41,-2.99,,,,
386,-879,-62.34,-9.84,63.11,-2.99,,,,
387,-1252,-62.3,-10.62,63.2,-2.97,,,,
388,-1572,-62.85,-11.41,63.87,-2.96,,,,
389,-1741,-63.85,-11.75,64.92,-2.96,,,,
390,-1680,-64.81,-11.41,65.81,-2.97,,,,
391,-1419,-65.29,-10.68,66.16,-2.98,,,,
392,-1054,-65.25,-10.01,66.02,-2.99,,,,
393,-716,-64.95,-9.64,65.66,-2.99,,,,
394,-555,-64.57,-9.53,65.27,-3,,,,
395,-614,-64.17,-9.64,64.89,-2.99,,,,
396,-880,-63.8,-10.08,64.59,-2.98,,,,
397,-1253,-63.76,-10.87,64.68,-2.97,,,,
398,-1572,-64.3,-11.66,65.35,-2.96,,,,
399,-1740,-65.3,-11.99,66.39,-2.96,,,,
400,-1681,-66.26,-11.65,67.28,-2.97,,,,
401,-1421,-66.75,-10.92,67.63,-2.98,,,,
402,-1055,-66.7,-10.26,67.49,-2.99,,,,
403,-714,-66.4,-9.89,67.13,-2.99,,,,
404,-555,-66.03,-9.77,66.75,-2.99,,,,
405,-615,-65.62,-9.89,66.36,-2.99,,,,
406,-878,-65.25,-10.33,66.06,-2.98,,,,
407,-1253,-65.21,-11.11,66.15,-2.97,,,,
408,-1569,-65.75,-11.9,66.82,-2.96,,,,
