Samp,Signal,I,Q,R,Phi,,,,
218,-1728,-30.09,-24.31,38.69,-2.46,,,,
219,-1725,-31.1,-24.63,39.68,-2.47,,,,
220,-1505,-31.98,-24.33,40.18,-2.49,,,,
221,-1150,-32.39,-23.73,40.15,-2.51,,,,
222,-788,-32.37,-23.22,39.83,-2.52,,,,
223,-570,-32.13,-22.91,39.47,-2.52,,,,
224,-579,-31.77,-22.79,39.1,-2.52,,,,
225,-809,-31.27,-22.93,38.77,-2.51,,,,
226,-1166,-30.82,-23.51,38.76,-2.49,,,,
227,-1525,-30.8,-24.45,39.32,-2.47,,,,
228,-1727,-31.41,-25.31,40.34,-2.46,,,,
229,-1724,-32.42,-25.63,41.33,-2.47,,,,
230,-1504,-33.3,-25.32,41.84,-2.49,,,,
231,-1151,-33.71,-24.72,41.8,-2.51,,,,
232,-787,-33.69,-24.21,41.48,-2.52,,,,
233,-570,-33.45,-23.91,41.12,-2.52,,,,
234,-579,-33.09,-23.78,40.75,-2.52,,,,
235,-809,-32.58,-23.92,40.42,-2.51,,,,
236,-1166,-32.13,-24.5,40.41,-2.49,,,,
237,-1525,-32.11,-25.44,40.97,-2.47,,,,
238,-1728,-32.73,-26.3,41.99,-2.46,,,,
239,-1727,-33.74,-26.62,42.98,-2.47,,,,
240,-1504,-34.62,-26.31,43.48,-2.49,,,,
241,-1150,-35.02,-25.71,43.45,-2.51,,,,
242,-787,-35,-25.2,43.13,-2.52,,,,
243,-569,-34.77,-24.9,42.76,-2.52,,,,
244,-581,-34.4,-24.77,42.39,-2.52,,,,
245,-809,-33.89,-24.91,42.06,-2.51,,,,
246,-1165,-33.44,-25.49,42.05,-2.49,,,,
247,-1525,-33.42,-26.43,42.61,-2.47,,,,
248,-1728,-34.04,-27.29,43.63,-2.47,,,,
249,-1725,-35.05,-27.61,44.61,-2.47,,,,
250,-1504,-35.92,-27.3,45.12,-2.49,,,,
251,-1151,-36.33,-26.7,45.08,-2.51,,,,
252,-788,-36.3,-26.19,44.76,-2.52,,,,
253,-569,-36.07,-25.88,44.39,-2.52,,,,
254,-578,-35.7,-25.75,44.02,-2.52,,,,
255,-810,-35.2,-25.89,43.69,-2.51,,,,
256,-1165,-34.74,-26.47,43.68,-2.49,,,,
257,-1526,-34.72,-27.41,44.24,-2.47,,,,
258,-1728,-35.34,-28.27,45.25,-2.47,,,,
259,-1726,-36.35,-28.59,46.24,-2.48,,,,
260,-1506,-37.22,-28.28,46.75,-2.49,,,,
261,-1151,-37.62,-27.68,46.71,-2.51,,,,
262,-786,-37.6,-27.16,46.39,-2.52,,,,
263,-570,-37.37,-26.86,46.02,-2.52,,,,
264,-580,-37,-26.73,45.64,-2.52,,,,
265,-809,-36.49,-26.87,45.32,-2.51,,,,
266,-1164,-36.04,-27.44,45.3,-2.49,,,,
267,-1526,-36.02,-28.38,45.86,-2.47,,,,
268,-1730,-36.63,-29.25,46.87,-2.47,,,,
269,-1725,-37.64,-29.56,47.86,-2.48,,,,
270,-1505,-38.51,-29.25,48.36,-2.49,,,,
271,-1152,-38.92,-28.65,48.32,-2.51,,,,
272,-787,-38.89,-28.14,48,-2.52,,,,
273,-570,-38.66,-27.83,47.63,-2.52,,,,
274,-578,-38.29,-27.7,47.26,-2.52,,,,
275,-809,-37.78,-27.84,46.93,-2.51,,,,
276,-1166,-37.33,-28.41,46.91,-2.49,,,,
277,-1525,-37.3,-29.35,47.47,-2.47,,,,
278,-1728,-37.92,-30.21,48.48,-2.47,,,,
279,-1726,-38.92,-30.53,49.47,-2.48,,,,
280,-1505,-39.8,-30.22,49.97,-2.49,,,,
281,-1151,-40.2,-29.61,49.93,-2.51,,,,
282,-787,-40.17,-29.1,49.61,-2.51,,,,
283,-570,-39.94,-28.79,49.23,-2.52,,,,
284,-580,-39.57,-28.66,48.86,-2.51,,,,
285,-809,-39.06,-28.8,48.53,-2.51,,,,
286,-1165,-38.6,-29.37,48.51,-2.49,,,,
287,-1526,-38.58,-30.31,49.06,-2.48,,,,
288,-1728,-39.19,-31.17,50.08,-2.47,,,,
289,-1726,-40.2,-31.49,51.06,-2.48,,,,
290,-1503,-41.07,-31.18,51.56,-2.49,,,,
291,-1150,-41.47,-30.57,51.52,-2.51,,,,
292,-788,-41.44,-30.06,51.2,-2.51,,,,
293,-568,-41.21,-29.75,50.83,-2.52,,,,
294,-579,-40.84,-29.62,50.45,-2.51,,,,
295,-808,-40.33,-29.76,50.12,-2.51,,,,
296,-1166,-39.87,-30.33,50.1,-2.49,,,,
297,-1527,-39.85,-31.27,50.65,-2.48,,,,
298,-1730,-40.46,-32.13,51.67,-2.47,,,,
299,-1725,-41.47,-32.45,52.65,-2.48,,,,
300,-1506,-42.34,-32.13,53.15,-2.49,,,,
301,-1150,-42.74,-31.53,53.11,-2.51,,,,
302,-788,-42.71,-31.02,52.78,-2.51,,,,
303,-569,-42.47,-30.71,52.41,-2.52,,,,
