Samp,Signal,I,Q,R,Phi
580,-781,107.93,149.67,184.53,0.95
581,-1516,107.3,150.35,184.71,0.95
582,-2117,107.23,151.58,185.68,0.96
583,-2345,108.03,152.68,187.03,0.95
584,-2114,109.23,152.99,187.98,0.95
585,-1511,110.06,152.6,188.15,0.95
586,-744,110.27,152.13,187.89,0.94
587,-132,110.2,151.95,187.7,0.94
588,30,110.14,151.87,187.6,0.94
589,-159,109.98,151.74,187.41,0.94
590,-779,109.44,151.8,187.14,0.95
591,-1517,108.81,152.47,187.32,0.95
592,-2120,108.74,153.71,188.29,0.96
593,-2344,109.54,154.81,189.64,0.95
594,-2114,110.74,155.12,190.59,0.95
595,-1512,111.57,154.73,190.76,0.95
596,-744,111.77,154.25,190.49,0.94
597,-132,111.7,154.07,190.3,0.94
598,31,111.64,153.99,190.2,0.94
599,-158,111.48,153.86,190.01,0.94
600,-780,110.94,153.92,189.74,0.95
601,-1518,110.31,154.59,189.92,0.95
602,-2119,110.24,155.83,190.88,0.96
603,-2343,111.04,156.92,192.23,0.95
604,-2115,112.23,157.23,193.18,0.95
605,-1513,113.07,156.84,193.35,0.95
606,-744,113.27,156.36,193.08,0.94
607,-133,113.2,156.18,192.89,0.94
608,30,113.14,156.1,192.79,0.94
609,-158,112.97,155.97,192.59,0.94
610,-780,112.44,156.02,192.32,0.95
611,-1515,111.81,156.7,192.5,0.95
612,-2118,111.74,157.93,193.46,0.96
613,-2346,112.53,159.02,194.81,0.95
614,-2113,113.73,159.33,195.75,0.95
615,-1513,114.56,158.94,195.92,0.95
616,-744,114.76,158.46,195.65,0.94
617,-132,114.69,158.28,195.46,0.94
618,29,114.63,158.19,195.36,0.94
619,-158,114.46,158.06,195.15,0.94
620,-780,113.92,158.11,194.88,0.95
621,-1518,113.29,158.79,195.06,0.95
622,-2118,113.22,160.02,196.02,0.96
623,-2344,114.01,161.11,197.37,0.95
624,-2113,115.2,161.42,198.31,0.95
625,-1511,116.03,161.02,198.47,0.95
626,-743,116.24,160.54,198.2,0.94
627,-131,116.16,160.36,198.01,0.94
628,30,116.1,160.27,197.91,0.94
629,-159,115.93,160.14,197.7,0.94
630,-780,115.39,160.19,197.43,0.95
631,-1517,114.76,160.86,197.6,0.95
632,-2118,114.69,162.09,198.56,0.96
633,-2344,115.48,163.18,199.91,0.95
634,-2114,116.67,163.49,200.85,0.95
635,-1511,117.5,163.09,201.01,0.95
636,-743,117.7,162.61,200.74,0.94
637,-133,117.63,162.43,200.55,0.94
638,30,117.57,162.34,200.44,0.94
639,-158,117.4,162.21,200.23,0.94
640,-780,116.86,162.26,199.96,0.95
641,-1517,116.23,162.93,200.13,0.95
642,-2120,116.15,164.16,201.09,0.96
643,-2345,116.95,165.24,202.44,0.95
644,-2114,118.13,165.55,203.38,0.95
645,-1513,118.96,165.15,203.54,0.95
646,-744,119.16,164.67,203.27,0.94
647,-133,119.09,164.48,203.07,0.94
648,30,119.03,164.4,202.96,0.94
649,-160,118.86,164.26,202.75,0.94
650,-780,118.31,164.31,202.48,0.95
651,-1516,117.68,164.98,202.65,0.95
